Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
syeydek,wash; clean,Action,Sinitic,,,,洗滌,,,,,,,,,,,,,
si,"four (compounds; see also ""catula"")",Objects and Concept,Sinitic,,,,四,,,,,,,,,,,,,
sikek,hour (of day),Objects and Concept,Sinitic,,,,時刻,,,,,,,,,,,,,
siden,dictionary,Objects and Concept,Sinitic,,,,辭典,,,,,,,,,,,,,
sido,try,Action,Sinitic,,,,試圖,,,,,,,,,,,,,
jidongca,car; automobile,Objects and Concept,Sinitic,,,,自動車,,,,,,,,,,,,,
sigan,hour (quantity of time),Objects and Concept,Sinitic,,,,時間,,,,,,,,,,,,,
sigan,"time (concept; see also ""tahi""); hour (unit of measure)",Objects and Concept,Sinitic,,,,時間,,,,,,,,,,,,,
sigo,accident; incident (an event),Objects and Concept,Sinitic,,,,事故,,,,,,,,,,,,,
sik,eat; drink; swallow,Action,Sinitic,,,,食,,,,,,,,,,,,,
sikaw,think,Action,Sinitic,,,,思考,,,,,,,,,,,,,
syekcit,draw; paint,Action,Sinitic,,,,色漆,,,,,,,,,,,,,
sikko,food; meal,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
syekmut,plant; vegetation,Objects and Concept,Sinitic,,,,植物,,,,,,,,,,,,,
sila,virtue; moral principle,Objects and Concept,Sanskrit,,,शील (śīla),,,,,,,,,,,,,,
sim'en,abyss,Objects and Concept,Sinitic,,,,深淵,,,,,,,,,,,,,
simang,die; death; pass away,Action,Sinitic,,,,死亡,,,,,,,,,,,,,
simga,join; participate,Action,Sinitic,,,,參加,,,,,,,,,,,,,
sin,new,Quality,Sinitic,,,,新,,,,,,,,,,,,,
singa,lion,Objects and Concept,Sanskrit,,,सिंह (siṃhá),,,,,,,,,,,,,,
syengli,win,Action,Sinitic,,,,勝利,,,,,,,,,,,,,
sinsya,a Shintō shrine,Objects and Concept,Sinitic,,,,神社,,,,,,,,,,,,,
sin'yong,to trust,Action,Sinitic,,,,信用,,,,,,,,,,,,,
sin'yong,trust,Objects and Concept,Sinitic,,,,信用,,,,,,,,,,,,,
sip,"ten (compounds; also see ""dasa"")",Objects and Concept,Sinitic,,,,十,,,,,,,,,,,,,
sicom,deer,Objects and Concept,Koreo-Japonic,사슴,しか,,,,,,,,,,,,,,,
sisya,"student; disciple (also see ""hakseng"")",Objects and Concept,Sanskrit,,,शिष्य (śiṣya),,,,,,,,,,,,,,
sitjitdek,practically; actually,Quality,Sinitic,,,,實質的,,,,,,,,,,,,,
sitlek,skill; talent,Objects and Concept,Sinitic,,,,實力,,,,,,,,,,,,,
syocek,book,Objects and Concept,Sinitic,,,,書冊,,,,,,,,,,,,,
sode,sleeve,Objects and Concept,Koreo-Japonic,소매,そで,,,,,,,,,,,,,,,
sokosoko,whisper; mumur,Action,Sound-based,,,,,,,,,,,,,,,,,
syomun,foreward (literature),Objects and Concept,Sinitic,,,,序文,,,,,,,,,,,,,
syonsit,lose (posession of item),Action,Sinitic,,,,損失,,,,,,,,,,,,,
suka,joy; happiness; being happy,Objects and Concept,Sanskrit,,,सुख sukhá,,,,,,,,,,,,,,
suna,sand,Objects and Concept,Koreo-Japonic,,,,,,,,,,,,,,,,,
sunya,zero,Objects and Concept,Sanskrit,,,शून्य śūnya,,,,,,,,,,,,,,
supika,speaker (computing),Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
syusi,numbers,Objects and Concept,Sinitic,,,,數詞,,,,,,,,,,,,,
susuk,brush; polish; scrub,Action,Sound-based,,,,,,,,,,,,,,,,,
swa,become; to be transformed,Action,Sinitic,,,,成化,,,,,,,,,,,,,
syey,years of age,Objects and Concept,Sinitic,,,,歲,,,,,,,,,,,,,
swi,sour,Quality,Koreo-Japonic,신 < 쉰,すい,,,,,,,,,,,,,,,
jaknit,yesterday,Objects and Concept,Sinitic,,,,昨日,,,,,,,,,,,,,
syanga,tusk ,Objects and Concept  ,Sinitic  ,,,,象牙,,,,,,,,,,,,,
syang'ep,business; trade; commerce,Objects and Concept,Sinitic,,,,商業,,,,,,,,,,,,,
syangdey,God (monotheism); supreme good,Objects and Concept,Sinitic,,,,上帝,,,,,,,,,,,,,
syangho,mutual; each other,Quality,Sinitic,,,,相互,,,,,,,,,,,,,
syangjeng,upstairs; upper class,Objects and Concept,Sinitic,,,,上層,,,,,,,,,,,,,
jangki,internal organs; intestines,Objects and Concept,Sinitic,,,,臟器,,,,,,,,,,,,,
syangho,each other; mutual; reciprocal,Objects and Concept,Sinitic,,,,相互,,,,,,,,,,,,,
syangsi,always; constantly,Quality,Sinitic,,,,常時,,,,,,,,,,,,,
syangsyeng,to lift,Action,Sinitic,,,,上昇,,,,,,,,,,,,,
syangyong,to use commonly,Action,Sinitic,,,,常用,,,,,,,,,,,,,
syaw,small; less,Quality,Sinitic,,,,小; 少,,,,,,,,,,,,,
syawbi,to spend; expend; consume,Action,Sinitic,,,,消費,,,,,,,,,,,,,
syawgay,introduce,Action,Sinitic,,,,紹介,,,,,,,,,,,,,
syawi,die; dice,Objects and Concept,Koreo-Japonic,주사위,さいころ,,,,,,,,,,,,,,,
syawnen,boy,Objects and Concept,Sinitic,,,,少年,,,,,,,,,,,,,
syawnyo,girl,Objects and Concept,Sinitic,,,,少女,,,,,,,,,,,,,
syem,island,Objects and Concept,Koreo-Japonic,섬,しま,,,,,,,,,,,,,,,
syensi,science,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
syeygay,world,Objects and Concept,Sinitic,,,,世界,,,,,,,,,,,,,
syoka,salt,Objects and Concept,Koreo-Japonic,소금,しお,,,,,,,,,,,,,,,
syokamwisu,unami fermented sauces (fish sauce; soy sauce; etc.),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
syokdey,homework,Objects and Concept,Sinitic,,,,宿題,,,,,,,,,,,,,
syonghol,bird of prey,Objects and Concept,Altaic,,,,,,,,,,,,,,,,шонхор,
syow,milk,Objects and Concept,Compound,젖,,,,,,,,,,,,,,,сүү,sữa
syucu,receive,Action,Sinitic,,,,受取,,,,,,,,,,,,,
syuep,lesson; a class,Objects and Concept,Sinitic,,,,授業,,,,,,,,,,,,,
syuymen,sleep,Action,Sinitic,,,,睡眠,,,,,,,,,,,,,
syumen-en swa,fall asleep,Action,Compound,,,,,,,,,,,,,,,,,
syuymenwan,tired; sleepy,Quality,Sinitic,,,,睡眠願,,,,,,,,,,,,,
syunsyo,order (in a series),Objects and Concept,Sinitic,,,,順序,,,,,,,,,,,,,
syuyeng,swim,Action,Sinitic,,,,水泳,,,,,,,,,,,,,
syuy,even if,Particle,Sinitic,,,,雖,,,,,,,,,,,,,
ta,other (compounds only),Quality,Sinitic,,,,他,,,,,,,,,,,,,
denggek,punch; hit; slap,Action,Sinitic,,,,打擊,,,,,,,,,,,,,
tabako,cigarette; tabaco,Objects and Concept,Western: Spanish,,,,,,,,,,,,,,tabaco,,,
tagalog'o,tagalog,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
tahi,time (concept); moment,Objects and Concept,Koreo-Japonic,때,とき,,,,,,,,,,,,,,,
tahi-tahi,sometimes,Objects and Concept,Compound: Koreo-Japonic,,,,,,,,,,,,,,,,,
tahi-tahi-dek,often; habitually,Quality,Compound: Koreo-Japonic,,,,,,,,,,,,,,,,,
tahon,"year (standalone; also see ""nen"")",Objects and Concept,Austronesian,,,,,,,,,,,,,,,,,
taksi,taxi,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
takut,afraid; scared,Quality,Austronesian,,,,,takut,takut,,,,,,,,,,,
takyap,chopsticks; tweezers; pincers,Objects and Concept,Austroasiatic,,,,,,,,,ថ្កៀប,ຕະຂຽບ,ตะเกียบ,,,,,,
talang,table,Objects and Concept,Austroasiatic,,,,,,,,,តារាង,,ตาราง,,,,,,
tali,rope; bonds,Objects and Concept,Austronesian,,,,,tali,tali,,tali,,,,,,,,,
tana,earth; soil,Objects and Concept,Austronesian,,,,,tanah,tanah,,,,,,,,,,,
tanaboti,Saturn,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
tanahali,saturday,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
tangsi,spoon,Objects and Concept,Sinitic,,,,湯匙,,,,,,,,,,,,,
tansyeng,to be born; birth,Action,Sinitic,,,,誕生,,,,,,,,,,,,,
tasik,lake; inland sea,Objects and Concept,Austronesian,,,,,tasik,tasik,,,,,,,,,,,
tay,hands,Objects and Concept,Austroasiatic,,,,,,,,,,,,,,,,,tay
tay'o,thai (language),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
taypong,storm,Objects and Concept,Sinitic,,,,颱風,,,,,,,,,,,,,
tayko,fingers,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
tayko (ji) kuku,finger nails,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
taywan,taiwan,Objects and Concept,Sinitic,,,,台灣,,,,,,,,,,,,,
teley,carry; bring; move (something),Action,Koreo-Japonic,데리다,つれる,,,,,,,,,,,,,,,
telinga,ears,Objects and Concept,Austronesian,,,,,telinga,telinga,,,,,,,,,,,
teluk,bay,Objects and Concept,Austronesian,,,,,teluk,teluk,,,,,,,,,,,
tengcu,hear; listen,Action,Sinitic,,,,聽取,,,,,,,,,,,,,
tenki; hi,weather,Objects and Concept,Sinitic,,,,天氣,,,,,,,,,,,,,
tensi,angel; agent of the order and good,Objects and Concept,Sinitic,,,,天使,,,,,,,,,,,,,
tensyang,Heavenly Realm,Objects and Concept,Sinitic,,,,天上,,,,,,,,,,,,,
teyjong,weight,Quality,Sinitic,,,,體重,,,,,,,,,,,,,
tili,"three (standalone; also see ""sam"")",Objects and Concept,Sanskrit,,,त्रि trí,,,,,,,,,,,,,,
tibet,Tibet,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
tiku,mouse; rat,Objects and Concept,Austronesian,,,,,tikus,tikus,,,,,,,,,,,
dowbu,tofu,Objects and Concept,Sinitic,,,,豆腐,,,,,,,,,,,,,
tok (fway),deep-fry,Action,Compound,,,,,,,,,,,,,,,,,
toli,bird; fowl,Objects and Concept,Koreo-Japonic,,とり,,,,,,,,,,,,,,,
tosu,fight,Action,Austroasiatic,,,,,,,,,,ຕໍ່ສູ້,ต่อสู้,,,,,,
towmeng,clear; transparent,Quality,Sinitic,,,,透明,,,,,,,,,,,,,
towsagi,rabbit / hare,Objects and Concept,Koreo-Japonic,토끼,うさぎ,,,,,,,,,,,,,,,
tuk,cheap,Quality,Austroasiatic,,,,,,,,,,ຖືກ,ถูก,,,,,,
twiluki'ye,Turkey (nation in Asia and Europe),Objects and Concept,Western: Turkish,,,,,,,,,,,,türkiye,,,,,
tya,tea,Objects and Concept,Sinitic,,,,茶,,,,,,,,,,,,,
uhe,cow,Objects and Concept,Altaic,,,,,,,,,,,,,,,,үхэр,
unci,poop,Objects and Concept,Koreo-Japonic,,うんち,,,,,,,,,,,,,,,
uncikaki,ankle biters; bad children,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
uncwen,drive (e.g. a car),Action,Sinitic,,,,運轉,,,,,,,,,,,,,
utala,north,Quality,Sanskrit,,,उत्तर (úttara),,,,,,,,,,,,,,
uwe,up; above; over,Quality,Koreo-Japonic,위/우에,うえ,,,,,,,,,,,,,,,
wajaw,smile; laugh,Action,Koreo-Japonic,웃음,わらう,,,,,,,,,,,,,,,
wak,wok,Objects and Concept,Sinitic,,,,鑊,,,,,,,,,,,,,
wan,want,Action,Sinitic,,,,願,,,,,,,,,,,,,
wankok,bend,Action,Sinitic,,,,彎曲,,,,,,,,,,,,,
watnam'o,vietnamese (language),Objects and Concept,Sinitic,,,,越南語,,,,,,,,,,,,,
wi,for (objective - instrumental),Particle,Sinitic,,,,爲,,,,,,,,,,,,,
widyasata,science; a discipline of study,Objects and Concept,Sanskrit,,,विद्या + शास्त्र (vidyā + śāstra),,,,,,,,,,,,,,
wihem,danger,Quality,Sinitic,,,,危險,,,,,,,,,,,,,
winyan,soul,Objects and Concept,Sanskrit,,,विज्ञान (vijñāna),,,,,,,,,,,,,,
wisa,poison,Objects and Concept,Sanskrit,,,विष viṣá,,,,,,,,,,,,,,
yacay,vegetable,Objects and Concept,Sinitic,,,,野菜,,,,,,,,,,,,,
yaksyok,promise,Action,Sinitic,,,,約束,,,,,,,,,,,,,
yame,mountain; wilderness,Objects and Concept,Koreo-Japonic,뫼,やま,,,,,,,,,,,,,,,
yang,like; as; (nominal adverb marker),Particle,Sinitic,,,,樣,,,,,,,,,,,,,
yang,"positive energy (also see ""im"")",Quality,Sinitic,,,,陽,,,,,,,,,,,,,
ya'way,outdoors; outside,Objects and Concept,Sinitic,,,,野外,,,,,,,,,,,,,
yenghwa,movie,Objects and Concept,Sinitic,,,,映畵,,,,,,,,,,,,,
yok (ji) luwang,bathroom,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
yong,use,Action,Sinitic,,,,用,,,,,,,,,,,,,
yusyaw,young,Quality,Sinitic,,,,幼少,,,,,,,,,,,,,
yu,because (causal - final),Particle,Sinitic,,,,由,,,,,,,,,,,,,
yu,right (direction),Quality,Sinitic,,,,右,,,,,,,,,,,,,
yuhan,finite,Quality,Sinitic,,,,有限,,,,,,,,,,,,,
yulopa,Europe,Objects and Concept,Western: Portuguese,,,,,,,,,,,,,,,Europa,,
,,,,,,,,,,,,,,,,,,,,
lammay,blueberry,Objects and Concept,Sinitic,,,,蓝苺,,,,,,,,,,,,,
maygwa,berries,Objects and Concept,Sinitic,,,,苺菓,,,,,,,,,,,,,
pokbonji ,blackberry; raspberry,Objects and Concept,Sinitic,,,,覆盆子,,,,,,,,,,,,,
pisaging,banana,Objects and Concept,Austronesian,,,,,pisang,pisang,saging,,,,,,,,,,
engdaw,cherry fruit,Objects and Concept,Sinitic,,,,櫻桃,,,,,,,,,,,,,
cawmay,strawberry,Objects and Concept,Sinitic,,,,草苺,,,,,,,,,,,,,
bodaw,grapes,Objects and Concept,Sinitic,,,,蒲萄,,,,,,,,,,,,,
siji,persimmon,Objects and Concept,Sinitic,,,,柿子,,,,,,,,,,,,,
pinggwa,apple,Objects and Concept,Sinitic,,,,苹果,,,,,,,,,,,,,
liji,pear,Objects and Concept,Sinitic,,,,梨子,,,,,,,,,,,,,
dawji,peach,Objects and Concept,Sinitic,,,,桃子,,,,,,,,,,,ananás,,
ananasi,pineapple,Objects and Concept,Western: Portuguese,,,,,,,,,,,,,,,,,
melon,(western) melon,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
syeygwa,watermelon,Objects and Concept,Sinitic,,,,西瓜,,,,,,,,,,,,,
limaw,Sour citrus fruits,Objects and Concept,Austronesian,,,,,,,,,,,,,,,,,
ceng limaw,"lime (fruit) (see ""limaw"")",Objects and Concept,Compound,,,,,,limau,limau,,,,,,,,,,
lweng limaw,"lemon (fruit) (see ""limaw"")",Objects and Concept,Compound,,,,,,,,,,,,,,,,,
day limaw,grapefruit; pomelo (see “limaw”),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
gamgyut,orange (fruit); mandarin (fruit),Objects and Concept,Sinitic,,,,,,,,,,,,,,,,,
yuji,Yuzu citron,Objects and Concept,Sinitic,,,,柑橘,,,,,,,,,,,,,
dayday gamgyut,bitter orange (fruit),Objects and Concept,Compound,,,,柚子,,,,,,,,,,,,,
kiwi,kiwi (fruit); kiwi (bird); person from New Zealand,Objects and Concept,Austronesian: Maori,,,,,,,,,,,,,,,,,
sakula,cherry tree; cherry flower,Objects and Concept,Koreo-Japonic,,さくら,,,,,,,,,,,,,,,
u’i,cucumber; squash; Korean melon; gourd,Objects and Concept,Koreo-Japonic,오이,うり,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
syawmoligi,wheat,Objects and Concept,Koreo-Japonic,밀,こむぎ,,,,,,,,,,,,,,,
damoligi,barley,Objects and Concept,Koreo-Japonic,보리,おおむぎ,,,,,,,,,,,,,,,
moligi,dry grains,Objects and Concept,Koreo-Japonic,,むぎ,,,,,,,,,,,,,,,
kalnaw,powder; flour,Objects and Concept,Koreo-Japonic,가루,こな,,,,,,,,,,,,,,,
oksyoksyo,maize; corn,Objects and Concept,Sinitic,,,,玉蜀黍,,,,,,,,,,,,,
syoksyo,millet,Objects and Concept,Sinitic,,,,蜀黍,,,,,,,,,,,,,
kawlang,sorghum,Objects and Concept,Sinitic,,,,高粱,,,,,,,,,,,,,
banmey,cooked rice,Objects and Concept,Sinitic,,,,飯米,,,,,,,,,,,,,
numey,sticky rice,Objects and Concept,Sinitic,,,,糯米,,,,,,,,,,,,,
bekmey,white rice,Objects and Concept,Sinitic,,,,白米,,,,,,,,,,,,,
cawmey,brown rice,Objects and Concept,Sinitic,,,,糙米,,,,,,,,,,,,,
hangmey,long rice,Objects and Concept,Sinitic,,,,香米,,,,,,,,,,,,,
hekmay,wild rice,Objects and Concept,Sinitic,,,,黑米,,,,,,,,,,,,,
gyawmoligi,buckwheat (from 蕎 (gyaw) and ‘moligi’),Objects and Concept,Compound,,,,蕎麥,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ojeko,squid,Objects and Concept,Sinitic,,,,烏賊魚,,,,,,,,,,,,,
muko,octopus,Objects and Concept,Sinitic,,,,墨魚,,,,,,,,,,,,,
ikan,fish,Objects and Concept,Austronesian,,,,,ikan,ikan,,,,,,,,,,,
kosilay,whale,Objects and Concept,Koreo-Japonic,고래,くじら,,,,,,,,,,,,,,,
haydon,dolphin,Objects and Concept,Sinitic,,,,海豚,,,,,,,,,,,,,
pating,shark,Objects and Concept,Austronesian,,,,,,,,pating,,,,,,,,,
kangi,crab,Objects and Concept,Koreo-Japonic,게,かに,,,,,,,,,,,,,,,
syawha,krill,Objects and Concept,Sinitic,,,,小蝦,,,,,,,,,,,,,
dayha,shrimp,Objects and Concept,Sinitic,,,,大蝦,,,,,,,,,,,,,
longha,lobster,Objects and Concept,Sinitic,,,,龍蝦,,,,,,,,,,,,,
syuyma,jellyfish,Objects and Concept,Sinitic,,,,水母,,,,,,,,,,,,,
laotsinga,sea lion,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
haybyaw,seal,Objects and Concept,Sinitic,,,,海豹,,,,,,,,,,,,,
man’o,eel,Objects and Concept,Sinitic,,,,鰻魚,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
bati,bees; insects in general,Objects and Concept,Koreo-Japonic,벌,はち,,,,,,,,,,,,,,,
bamla,ants,Objects and Concept,Sanskrit,,,वम्र (vamrá),,,,,,,,,,,,,,
langaw,fly (insect),Objects and Concept,Austronesian,,,,,langau,langau,langau,langaw,,,,,,,,,
nyamuk,mosquito,Objects and Concept,Austronesian,,,,,nyamuk,nyamuk,lemut,lamok,,,,,,,,,
mattagi,grasshopper,Objects and Concept,Koreo-Japonic,메뚜기,ばった,,,,,,,,,,,,,,,
jakajan,cicada,Objects and Concept,Austroasia,,,,,,,,,,ຈັກຈັ່ນ,จักจั่น,,,,,,
hodep,butterfly,Objects and Concept,Sinitic,,,,蝴蝶,,,,,,,,,,,,,
kampukampu,moth,Objects and Concept,Austronesian,,,,,Kupu-kupu,Kupu-kupu,kupu,gamugamo,,,,,,,,,
komoy,spider,Objects and Concept,Koreo-Japonic,거미,くも,,,,,,,,,,,,,,,
cengleng,dragonfly,Objects and Concept,Sinitic,,,,蜻蛉,,,,,,,,,,,,,
gapjong,beetle,Objects and Concept,Sinitic,,,,甲蟲,,,,,,,,,,,,,
cawhengjong,stag beetle,Objects and Concept,Sinitic,,,,鍫形蟲,,,,,,,,,,,,,
sungojong,rhinoceros beetle,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
mandatak,mantis,Objects and Concept,Austronesian,,,,,mentadak,mentadak,,mandadangkal,,,,,,,,,
byawjong,ladybug; ladybird,Objects and Concept,Sinitic,,,,瓢蟲,,,,,,,,,,,,,
kuto,louse; lice; ticks,Objects and Concept,Austronesian,,,,,kutu,kutu,kutu,kuto,,,,,,,,,
niknik,gnat,Objects and Concept,Austronesian,,,,,,,,niknik,,,,,,,,,
lipasi,cockroach,Objects and Concept,Austronesian,,,,,lipas,lipas,,ipis,,,,,,,,,
nemuk,mosquito,Objects and Concept,Austronesian,,,,,nyamuk,nyamuk,lemut,lamok,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
katak,frog/toad,Objects and Concept,Austronesian,,,,,katak,katak,,palaka,,,,,,,,,
tokok,lizard; gecko,Objects and Concept,Austronesian,,,,,tokek,tokek,tekèk,tuko,,,,,,,,,
awlasi,snake,Objects and Concept,Austronesian,,,,,ular,ular,,ahas,,,,,,,,,
penyu,turtle,Objects and Concept,Austronesian,,,,,penyu,penyu,,,,,,,,,,,
